nom commune,code insee,code Departement,code Region,population,surface,code Postal,siren,density,code Postal 2,cp
AIX-EN-PROVENCE,13001,13,93,149695.0,18749.92,1308013090131001329013540,211300017.0,7.983767397407563,1308013090131001329013540,130
ALLAUCH,13002,13,93,21443.0,5037.47,13190,211300025.0,4.256700288041418,13190,13
ALLEINS,13003,13,93,2852.0,1685.31,13980,211300033.0,1.6922702648177488,13980,13
ARLES,13004,13,93,51811.0,75678.01,1310413123131291320013280,211300041.0,0.6846242389301728,1310413123131291320013280,131
AUBAGNE,13005,13,93,47529.0,5477.36,13400,211300058.0,8.677355514335373,13400,13
AUREILLE,13006,13,93,1533.0,2163.57,13930,211300066.0,0.7085511446359488,13930,13
AURIOL,13007,13,93,13037.0,4461.27,13390,211300074.0,2.9222620464576226,13390,13
AURONS,13008,13,93,555.0,1253.53,13121,211300082.0,0.4427496749180314,13121,13
LA BARBEN,13009,13,93,868.0,2291.44,13330,211300090.0,0.3788011032363928,13330,13
BARBENTANE,13010,13,93,4266.0,2736.78,13570,211300108.0,1.5587661412316662,13570,13
LES BAUX-DE-PROVENCE,13011,13,93,264.0,1806.42,13520,211300116.0,0.1461454146876141,13520,13
BEAURECUEIL,13012,13,93,585.0,1006.49,13100,211300124.0,0.5812278313743803,13100,13
BELCODÈNE,13013,13,93,2009.0,1310.49,13720,211300132.0,1.5330143686712605,13720,13
BERRE-L'ÉTANG,13014,13,93,13832.0,4369.98,13130,211300140.0,3.1652318774914305,13130,13
BOUC-BEL-AIR,13015,13,93,15381.0,2189.06,13320,211300157.0,7.0263035275415024,13320,13
LA BOUILLADISSE,13016,13,93,6547.0,1271.95,13720,211300165.0,5.147214906246314,13720,13
BOULBON,13017,13,93,1543.0,1933.65,13150,211300173.0,0.7979727458433532,13150,13
CABANNES,13018,13,93,4595.0,1547.44,13440,211300181.0,2.969420462182702,13440,13
CABRIÈS,13019,13,93,10240.0,3667.14,13480,211300199.0,2.792366803558086,13480,13
CADOLIVE,13020,13,93,2236.0,419.14,13950,211300207.0,5.334733024764995,13950,13
CARRY-LE-ROUET,13021,13,93,5702.0,991.69,13620,211300215.0,5.749780677429438,13620,13
CASSIS,13022,13,93,6661.0,2600.53,13260,211300223.0,2.561400945191941,13260,13
CEYRESTE,13023,13,93,4863.0,2315.72,13600,211300231.0,2.0999948180263592,13600,13
CHARLEVAL,13024,13,93,2640.0,1435.93,13350,211300249.0,1.8385297333435475,13350,13
CHÂTEAUNEUF-LE-ROUGE,13025,13,93,2376.0,1321.56,13790,211300256.0,1.797875238354672,13790,13
CHÂTEAUNEUF-LES-MARTIGUES,13026,13,93,18455.0,3216.43,13220,211300264.0,5.737727853551919,13220,13
CHÂTEAURENARD,13027,13,93,16545.0,3490.57,13160,211300272.0,4.739913538476523,13160,13
LA CIOTAT,13028,13,93,38477.0,3202.99,13600,211300280.0,12.012838004489556,13600,13
CORNILLON-CONFOUX,13029,13,93,1667.0,1486.52,13250,211300298.0,1.121411080913812,13250,13
CUGES-LES-PINS,13030,13,93,6236.0,3964.37,13780,211300306.0,1.5730116008344328,13780,13
LA DESTROUSSE,13031,13,93,4133.0,299.46,13112,211300314.0,13.80150938355707,13112,13
ÉGUILLES,13032,13,93,8479.0,3414.81,13510,211300322.0,2.4830078393819863,13510,13
ENSUÈS-LA-REDONNE,13033,13,93,5757.0,2603.3,13820,211300330.0,2.211423961894518,13820,13
EYGALIÈRES,13034,13,93,1773.0,3396.42,13810,211300348.0,0.5220202448460438,13810,13
EYGUIÈRES,13035,13,93,7119.0,6883.84,13430,211300355.0,1.0341611658609149,13430,13
EYRAGUES,13036,13,93,4298.0,2079.62,13630,211300363.0,2.0667237283734528,13630,13
LA FARE-LES-OLIVIERS,13037,13,93,9039.0,1424.69,13580,211300371.0,6.344538110044992,13580,13
FONTVIEILLE,13038,13,93,3571.0,4028.33,13990,211300389.0,0.8864715651398967,13990,13
FOS-SUR-MER,13039,13,93,15862.0,8750.89,13270,211300397.0,1.8126156310958088,13270,13
FUVEAU,13040,13,93,10337.0,3007.04,13710,211300405.0,3.4375997658827284,13710,13
GARDANNE,13041,13,93,21597.0,2717.28,13120,211300413.0,7.948021550962727,13120,13
GÉMENOS,13042,13,93,6579.0,3293.55,13420,211300421.0,1.9975406476294573,13420,13
GIGNAC-LA-NERTHE,13043,13,93,10343.0,858.02,13180,211300439.0,12.054497564159345,13180,13
GRANS,13044,13,93,5489.0,2772.17,13450,211300447.0,1.9800372992998263,13450,13
GRAVESON,13045,13,93,4698.0,2383.38,13690,211300454.0,1.971150215240541,13690,13
GRÉASQUE,13046,13,93,4554.0,623.14,13850,211300462.0,7.3081490515774945,13850,13
ISTRES,13047,13,93,44292.0,11423.83,1311813800,211300470.0,3.877158536147684,1311813800,131
JOUQUES,13048,13,93,4547.0,8023.84,13490,211300488.0,0.5666862749007956,13490,13
LAMANON,13049,13,93,2097.0,1940.79,13113,211300496.0,1.080487842579568,13113,13
LAMBESC,13050,13,93,10024.0,6520.29,13410,211300504.0,1.537354933599579,13410,13
LANÇON-PROVENCE,13051,13,93,9915.0,6912.24,13680,211300512.0,1.4344119995833478,13680,13
MAILLANE,13052,13,93,2775.0,1692.24,13910,211300520.0,1.6398383208055596,13910,13
MALLEMORT,13053,13,93,6166.0,2861.37,13370,211300538.0,2.1549118079800937,13370,13
MARIGNANE,13054,13,93,33692.0,2356.88,13700,211300546.0,14.295169885611486,13700,13
MARSEILLE,13055,13,93,886040.0,23793.28,13001130021300313004130051300613007130081300913010130111301213013130141301513016,211300553.0,37.23908599402857,13001130021300313004130051300613007130081300913010130111301213013130141301513016,130
MARTIGUES,13056,13,93,48298.0,7260.5,1311713500,211300561.0,6.65215894222161,1311713500,131
MAS-BLANC-DES-ALPILLES,13057,13,93,564.0,156.52,13103,211300579.0,3.603373370815231,13103,13
MAUSSANE-LES-ALPILLES,13058,13,93,2347.0,3163.86,13520,211300587.0,0.7418153774187227,13520,13
MEYRARGUES,13059,13,93,3847.0,4175.92,13650,211300595.0,0.9212341232590664,13650,13
MEYREUIL,13060,13,93,6747.0,2014.74,13590,211300603.0,3.3488192024777392,13590,13
SAINT-PIERRE-DE-MÉZOARGUES,13061,13,93,229.0,432.09,13150,211300611.0,0.5299821796385012,13150,13
MIMET,13062,13,93,4241.0,1886.62,13105,211300629.0,2.247935461301163,13105,13
MIRAMAS,13063,13,93,26203.0,2574.17,13140,211300637.0,10.179203393715255,13140,13
MOLLÉGÈS,13064,13,93,2647.0,1426.64,13940,211300645.0,1.8554085123086408,13940,13
MOURIÈS,13065,13,93,3527.0,3836.3,13890,211300652.0,0.9193754398769648,13890,13
NOVES,13066,13,93,6080.0,2651.6,13550,211300660.0,2.292955196862272,13550,13
ORGON,13067,13,93,2762.0,3483.01,13660,211300678.0,0.7929922681818312,13660,13
PARADOU,13068,13,93,2159.0,1589.64,13520,211300686.0,1.3581691452152689,13520,13
PÉLISSANNE,13069,13,93,11085.0,1913.06,13330,211300694.0,5.794381775793755,13330,13
LA PENNE-SUR-HUVEAUNE,13070,13,93,6605.0,364.25,13821,211300702.0,18.13315030885381,13821,13
LES PENNES-MIRABEAU,13071,13,93,22537.0,3367.85,13170,211300710.0,6.691806345294476,13170,13
PEYNIER,13072,13,93,3739.0,2478.24,13790,211300728.0,1.5087320033572214,13790,13
PEYPIN,13073,13,93,5771.0,1326.78,13124,211300736.0,4.349628423702498,13124,13
PEYROLLES-EN-PROVENCE,13074,13,93,5409.0,3504.18,13860,211300744.0,1.5435850898070305,13860,13
PLAN-DE-CUQUES,13075,13,93,11632.0,849.95,13380,211300751.0,13.685510912406611,13380,13
PLAN-D'ORGON,13076,13,93,3573.0,1499.24,13750,211300769.0,2.3832074917958432,13750,13
PORT-DE-BOUC,13077,13,93,15802.0,1175.91,13110,211300777.0,13.43810325620158,13110,13
PORT-SAINT-LOUIS-DU-RHÔNE,13078,13,93,8573.0,8128.67,13230,211300785.0,1.0546620787902572,13230,13
PUYLOUBIER,13079,13,93,1768.0,4093.07,13114,211300793.0,0.4319496123936311,13114,13
LE PUY-SAINTE-RÉPARADE,13080,13,93,5935.0,4489.17,13610,211300801.0,1.3220706723069076,13610,13
ROGNAC,13081,13,93,12576.0,1761.24,13340,211300819.0,7.140423792328132,13340,13
ROGNES,13082,13,93,4693.0,5826.81,13840,211300827.0,0.8054149697690502,13840,13
ROGNONAS,13083,13,93,4261.0,839.55,13870,211300835.0,5.075337978679055,13870,13
LA ROQUE-D'ANTHÉRON,13084,13,93,5459.0,2540.36,13640,211300843.0,2.148908028783322,13640,13
ROQUEFORT-LA-BÉDOULE,13085,13,93,5798.0,3092.88,13830,211300850.0,1.8746281782675047,13830,13
ROQUEVAIRE,13086,13,93,8915.0,2397.35,13360,211300868.0,3.7186893861972594,13360,13
ROUSSET,13087,13,93,5425.0,1953.71,13790,211300876.0,2.776768302358078,13790,13
LE ROVE,13088,13,93,5246.0,2309.39,13740,211300884.0,2.271595529555424,13740,13
SAINT-ANDIOL,13089,13,93,3353.0,1610.88,13670,211300892.0,2.0814709972189114,13670,13
SAINT-ANTONIN-SUR-BAYON,13090,13,93,126.0,1755.78,13100,211300900.0,0.0717629771383658,13100,13
SAINT-CANNAT,13091,13,93,6097.0,3682.43,13760,211300918.0,1.6557001762423182,13760,13
SAINT-CHAMAS,13092,13,93,8676.0,2674.77,13250,211300926.0,3.2436433786830268,13250,13
SAINT-ESTÈVE-JANSON,13093,13,93,357.0,682.56,13610,211300934.0,0.5230309423347398,13610,13
SAINT-ÉTIENNE-DU-GRÈS,13094,13,93,2489.0,2921.83,13103,211300942.0,0.8518633869869227,13103,13
SAINT-MARC-JAUMEGARDE,13095,13,93,1273.0,2327.21,13100,211300959.0,0.5470069310461884,13100,13
SAINTES-MARIES-DE-LA-MER,13096,13,93,2433.0,37007.4,13460,211300967.0,0.0657436080351497,13460,13
