nom commune,code insee,code Departement,code Region,population,surface,code Postal,siren,density,code Postal 2,cp
AFA,2A001,2A,94,3350.0,1192.22,20167,212000012.0,2.809884081796984,20167,20
AJACCIO,2A004,2A,94,76320.0,8248.58,200002009020167,212000046.0,9.252501642706989,200002009020167,200
ALATA,2A006,2A,94,3681.0,3058.18,20167,212000061.0,1.2036570770850636,20167,20
ALBITRECCIA,2A008,2A,94,1833.0,4580.39,2012820166,212000087.0,0.4001842637853982,2012820166,201
ALTAGÈNE,2A011,2A,94,52.0,477.09,20112,212000111.0,0.108994110125972,20112,20
AMBIEGNA,2A014,2A,94,79.0,616.16,20151,212000145.0,0.1282134510516749,20151,20
APPIETTO,2A017,2A,94,1749.0,3444.24,20167,212000178.0,0.5078043341927392,20167,20
ARBELLARA,2A018,2A,94,165.0,1129.35,20110,212000186.0,0.1461017399389029,20110,20
ARBORI,2A019,2A,94,53.0,2014.0,20160,212000194.0,0.0263157894736842,20160,20
ARGIUSTA-MORICCIO,2A021,2A,94,75.0,1023.78,20140,212000210.0,0.0732579265076481,20140,20
ARRO,2A022,2A,94,80.0,882.01,20151,212000228.0,0.0907019194793709,20151,20
AULLÈNE,2A024,2A,94,184.0,4089.48,20116,212000244.0,0.044993495505541,20116,20
AZILONE-AMPAZA,2A026,2A,94,208.0,799.1,20190,212000269.0,0.2602928294331122,20190,20
AZZANA,2A027,2A,94,49.0,1190.79,20121,212000277.0,0.0411491530832472,20121,20
BALOGNA,2A028,2A,94,135.0,2769.28,20160,212000285.0,0.0487491333487404,20160,20
BASTELICA,2A031,2A,94,522.0,12715.13,20119,212000319.0,0.0410534536414492,20119,20
BASTELICACCIA,2A032,2A,94,4411.0,1809.11,20129,212000327.0,2.438215476118091,20129,20
BELVÉDÈRE-CAMPOMORO,2A035,2A,94,213.0,2676.17,20110,212000350.0,0.0795913563039717,20110,20
BILIA,2A038,2A,94,54.0,739.86,20100,212000384.0,0.0729867812829454,20100,20
BOCOGNANO,2A040,2A,94,419.0,7123.61,20136,212000400.0,0.0588184923093768,20136,20
BONIFACIO,2A041,2A,94,3344.0,13956.44,20169,212000418.0,0.2396026493862331,20169,20
CALCATOGGIO,2A048,2A,94,516.0,2310.68,20111,212000483.0,0.2233108868385064,20111,20
CAMPO,2A056,2A,94,102.0,328.17,20142,212000566.0,0.3108145168662583,20142,20
CANNELLE,2A060,2A,94,70.0,344.36,20151,212000608.0,0.2032756417702404,20151,20
CARBINI,2A061,2A,94,117.0,1651.09,20170,212000616.0,0.0708622788582088,20170,20
CARBUCCIA,2A062,2A,94,379.0,1444.14,20133,212000624.0,0.2624399296467101,20133,20
CARDO-TORGIA,2A064,2A,94,32.0,389.27,20190,212000640.0,0.0822051532355434,20190,20
CARGÈSE,2A065,2A,94,1150.0,4649.24,20130,212000657.0,0.2473522554223916,20130,20
CARGIACA,2A066,2A,94,64.0,796.67,20164,212000665.0,0.08033439190631,20164,20
CASAGLIONE,2A070,2A,94,571.0,1479.26,20111,212000707.0,0.3860038127171694,20111,20
CASALABRIVA,2A071,2A,94,235.0,1582.83,20140,212000715.0,0.1484682499068124,20140,20
CAURO,2A085,2A,94,1486.0,2770.51,20117,212000855.0,0.5363633410455114,20117,20
CIAMANNACCE,2A089,2A,94,129.0,2506.2,20134,212000897.0,0.0514723485755326,20134,20
COGGIA,2A090,2A,94,818.0,3135.67,2011820160,212000905.0,0.2608692879033827,2011820160,201
COGNOCOLI-MONTICCHI,2A091,2A,94,172.0,3570.97,2012320166,212000913.0,0.0481661845380946,2012320166,201
CONCA,2A092,2A,94,1175.0,7803.15,20135,212000921.0,0.1505802144005946,20135,20
CORRANO,2A094,2A,94,75.0,1270.81,20168,212000947.0,0.0590174770422014,20168,20
COTI-CHIAVARI,2A098,2A,94,737.0,6275.08,20138,212000988.0,0.1174487018492194,20138,20
COZZANO,2A099,2A,94,282.0,2508.18,20148,212000996.0,0.1124321220965002,20148,20
CRISTINACCE,2A100,2A,94,77.0,2060.32,20126,212001002.0,0.0373728352877222,20126,20
CUTTOLI-CORTICCHIATO,2A103,2A,94,2060.0,3057.43,20167,212001036.0,0.6737684918379162,20167,20
ECCICA-SUARELLA,2A104,2A,94,1389.0,1440.17,20117,212001044.0,0.9644694723539582,20117,20
ÉVISA,2A108,2A,94,231.0,6716.63,20126,212001085.0,0.0343922473025907,20126,20
FIGARI,2A114,2A,94,1772.0,9995.83,20114,212001143.0,0.1772739232259852,20114,20
FOCE,2A115,2A,94,151.0,2070.75,20100,212001150.0,0.072920439454304,20100,20
FORCIOLO,2A117,2A,94,93.0,686.56,20190,212001176.0,0.135457935213237,20190,20
FOZZANO,2A118,2A,94,210.0,1939.14,20143,212001184.0,0.1082954299328568,20143,20
FRASSETO,2A119,2A,94,134.0,1660.49,20157,212001192.0,0.0806990707562225,20157,20
GIUNCHETO,2A127,2A,94,106.0,765.58,20100,212001275.0,0.1384571174795579,20100,20
GRANACE,2A128,2A,94,92.0,403.93,20100,212001283.0,0.2277622360309954,20100,20
GROSSA,2A129,2A,94,74.0,1832.31,20100,212001291.0,0.0403861791945686,20100,20
GROSSETO-PRUGNA,2A130,2A,94,3900.0,3176.0,2012820166,212001309.0,1.2279596977329974,2012820166,201
GUAGNO,2A131,2A,94,145.0,4278.75,20160,212001317.0,0.0338884019865615,20160,20
GUARGUALÉ,2A132,2A,94,146.0,1061.62,20128,212001325.0,0.1375256683182306,20128,20
GUITERA-LES-BAINS,2A133,2A,94,154.0,1460.34,20153,212001333.0,0.1054548940657655,20153,20
LECCI,2A139,2A,94,2134.0,2711.78,20137,212001390.0,0.78693699341392,20137,20
LETIA,2A141,2A,94,111.0,3661.52,20160,212001416.0,0.0303152789005658,20160,20
LEVIE,2A142,2A,94,674.0,8565.22,20170,212001424.0,0.0786903313633508,20170,20
LOPIGNA,2A144,2A,94,113.0,1964.02,20139,212001440.0,0.0575350556511644,20139,20
LORETO-DI-TALLANO,2A146,2A,94,47.0,695.38,20165,212001465.0,0.0675889441744082,20165,20
MARIGNANA,2A154,2A,94,100.0,5518.12,20141,212001549.0,0.018122114053337,20141,20
MELA,2A158,2A,94,37.0,462.16,20112,212001580.0,0.0800588540765103,20112,20
MOCA-CROCE,2A160,2A,94,221.0,2762.54,20140,212001606.0,0.0799988416457318,20140,20
MONACIA-D'AULLÈNE,2A163,2A,94,540.0,3979.93,20171,212001630.0,0.135680778305146,20171,20
MURZO,2A174,2A,94,98.0,2145.96,20160,212001747.0,0.0456672072172827,20160,20
OCANA,2A181,2A,94,657.0,2601.33,20117,212001812.0,0.2525631119465811,20117,20
OLIVESE,2A186,2A,94,221.0,2934.04,20140,212001861.0,0.0753227631525132,20140,20
OLMETO,2A189,2A,94,1289.0,4389.53,20113,212001895.0,0.2936533068460633,20113,20
OLMICCIA,2A191,2A,94,120.0,1127.21,20112,212001911.0,0.1064575367500288,20112,20
ORTO,2A196,2A,94,81.0,1603.55,20125,212001960.0,0.050512924448879,20125,20
OSANI,2A197,2A,94,96.0,5152.59,20147,212001978.0,0.0186314067294312,20147,20
OTA,2A198,2A,94,470.0,3813.37,20150,212001986.0,0.1232505631501795,20150,20
PALNECA,2A200,2A,94,133.0,4364.58,20134,212002000.0,0.0304725769718964,20134,20
PARTINELLO,2A203,2A,94,94.0,1858.98,20147,212002034.0,0.0505653638016546,20147,20
PASTRICCIOLA,2A204,2A,94,90.0,4637.72,20121,212002042.0,0.0194060874740174,20121,20
PERI,2A209,2A,94,2044.0,2404.25,20167,212002091.0,0.8501611729229489,20167,20
PETRETO-BICCHISANO,2A211,2A,94,572.0,3916.38,20140,212002117.0,0.146053243045874,20140,20
PIANA,2A212,2A,94,452.0,6275.07,20115,212002125.0,0.0720310689761229,20115,20
PIANOTTOLI-CALDARELLO,2A215,2A,94,749.0,4262.56,20131,212002158.0,0.1757160016515896,20131,20
PIETROSELLA,2A228,2A,94,2074.0,3553.23,20166,212002281.0,0.58369427253513,20166,20
PILA-CANALE,2A232,2A,94,271.0,1878.52,20123,212002323.0,0.1442625045248387,20123,20
POGGIOLO,2A240,2A,94,104.0,1216.34,2012520160,212002406.0,0.0855024088659421,2012520160,201
PORTO-VECCHIO,2A247,2A,94,11198.0,16834.2,20137,212002471.0,0.6651934751874161,20137,20
PROPRIANO,2A249,2A,94,3996.0,1896.7,20110,212002497.0,2.106817103390098,20110,20
QUASQUARA,2A253,2A,94,66.0,614.49,20142,212002539.0,0.107406141678465,20142,20
QUENZA,2A254,2A,94,200.0,9590.01,20122,212002547.0,0.0208550356047595,20122,20
RENNO,2A258,2A,94,62.0,1263.77,20160,212002588.0,0.0490595598882708,20160,20
REZZA,2A259,2A,94,61.0,1363.75,20121,212002596.0,0.0447296058661778,20121,20
ROSAZIA,2A262,2A,94,53.0,1970.63,20121,212002620.0,0.0268949523756362,20121,20
SALICE,2A266,2A,94,102.0,2203.4,20121,212002661.0,0.046292094036489,20121,20
SAMPOLO,2A268,2A,94,90.0,713.98,20134,212002687.0,0.1260539510910669,20134,20
SARI-SOLENZARA,2A269,2A,94,1445.0,7444.79,20145,212002695.0,0.1940954681058834,20145,20
SARI-D'ORCINO,2A270,2A,94,351.0,2215.87,20151,212002703.0,0.1584027943877574,20151,20
SARROLA-CARCOPINO,2A271,2A,94,3278.0,2686.46,20167,212002711.0,1.2201931165920952,20167,20
SARTÈNE,2A272,2A,94,3742.0,20047.78,20100,212002729.0,0.1866540833947699,20100,20
SERRA-DI-FERRO,2A276,2A,94,727.0,3274.72,20140,212002760.0,0.2220037132945717,20140,20
SERRA-DI-SCOPAMÈNE,2A278,2A,94,135.0,2048.93,20127,212002786.0,0.0658880488840516,20127,20
SERRIERA,2A279,2A,94,113.0,3692.02,20147,212002794.0,0.030606551427132,20147,20
SOCCIA,2A282,2A,94,160.0,2791.0,20125,212002828.0,0.0573271228950197,20125,20
SOLLACARO,2A284,2A,94,396.0,2399.38,20140,212002844.0,0.1650426360143037,20140,20
SORBOLLANO,2A285,2A,94,65.0,781.68,20152,212002851.0,0.0831542319107563,20152,20
SOTTA,2A288,2A,94,1893.0,6657.93,20146,212002885.0,0.2843226047735557,20146,20
SANT'ANDRÉA-D'ORCINO,2A295,2A,94,144.0,887.35,20151,212002950.0,0.1622809488927706,20151,20
SAN-GAVINO-DI-CARBINI,2A300,2A,94,1204.0,4775.94,2013720170,212003008.0,0.2520969693924128,2013720170,201
SAINTE-LUCIE-DE-TALLANO,2A308,2A,94,363.0,2560.91,20112,212003081.0,0.1417464885528972,20112,20
SANTA-MARIA-FIGANIELLA,2A310,2A,94,74.0,1304.62,20143,212003107.0,0.0567214974475326,20143,20
SANTA-MARIA-SICHÉ,2A312,2A,94,364.0,1067.52,20190,212003123.0,0.3409772182254196,20190,20
TASSO,2A322,2A,94,89.0,1682.76,20134,212003222.0,0.052889300910409,20134,20
TAVACO,2A323,2A,94,414.0,1091.06,20167,212003230.0,0.3794475097611497,20167,20
TAVERA,2A324,2A,94,453.0,3244.47,20163,212003248.0,0.139622187907424,20163,20
TOLLA,2A326,2A,94,120.0,2539.65,20117,212003263.0,0.0472506053983816,20117,20
UCCIANI,2A330,2A,94,504.0,2862.42,20133,212003305.0,0.1760747898631228,20133,20
URBALACONE,2A331,2A,94,65.0,827.1,20128,212003313.0,0.0785878370209164,20128,20
VALLE-DI-MEZZANA,2A336,2A,94,537.0,706.4,20167,212003362.0,0.7601925254813138,20167,20
VERO,2A345,2A,94,640.0,2365.74,20172,212003453.0,0.2705284604394397,20172,20
VICO,2A348,2A,94,999.0,5221.18,2011820160,212003487.0,0.1913360581324528,2011820160,201
VIGGIANELLO,2A349,2A,94,908.0,1695.81,20110,212003495.0,0.5354373426268273,20110,20
VILLANOVA,2A351,2A,94,402.0,1142.9,20167,212003511.0,0.3517368098696298,20167,20
