nom commune,code insee,code Departement,code Region,population,surface,code Postal,siren,density,code Postal 2,cp
AGHIONE,2B002,2B,94,258.0,3387.15,20270,212000020.0,0.0761702316106461,20270,20
AITI,2B003,2B,94,27.0,1212.94,20244,212000038.0,0.0222599633947268,20244,20
ALANDO,2B005,2B,94,30.0,306.14,20212,212000053.0,0.0979943816554517,20212,20
ALBERTACCE,2B007,2B,94,196.0,9694.91,20224,212000079.0,0.0202167941734374,20224,20
ALÉRIA,2B009,2B,94,2267.0,6311.61,20270,212000095.0,0.359179353603914,20270,20
ALGAJOLA,2B010,2B,94,363.0,168.72,20220,212000103.0,2.15149359886202,20220,20
ALTIANI,2B012,2B,94,53.0,1848.06,20251,212000129.0,0.028678722552298,20251,20
ALZI,2B013,2B,94,27.0,269.7,20212,212000137.0,0.100111234705228,20212,20
AMPRIANI,2B015,2B,94,23.0,230.61,20272,212000152.0,0.0997354841507306,20272,20
ANTISANTI,2B016,2B,94,591.0,4813.03,20270,212000160.0,0.1227916717743292,20270,20
AREGNO,2B020,2B,94,588.0,929.69,20220,212000202.0,0.6324688874786218,20220,20
ASCO,2B023,2B,94,116.0,12385.08,20276,212000236.0,0.0093661082528332,20276,20
AVAPESSA,2B025,2B,94,80.0,325.13,20225,212000251.0,0.2460554239842524,20225,20
BARBAGGIO,2B029,2B,94,362.0,1090.06,20253,212000293.0,0.3320918114599197,20253,20
BARRETTALI,2B030,2B,94,174.0,1823.43,20228,212000301.0,0.0954245570161728,20228,20
BASTIA,2B033,2B,94,46867.0,1991.68,2020020600,212000335.0,23.531390584832906,2020020600,202
BELGODÈRE,2B034,2B,94,835.0,1305.07,20226,212000343.0,0.6398124238546592,20226,20
BIGORNO,2B036,2B,94,97.0,895.1,20252,212000368.0,0.1083677801362976,20252,20
BIGUGLIA,2B037,2B,94,7642.0,2670.45,20620,212000376.0,2.8616899773446427,20620,20
BISINCHI,2B039,2B,94,183.0,1269.39,20235,212000392.0,0.1441637321863257,20235,20
BORGO,2B042,2B,94,10311.0,4817.2,20290,212000426.0,2.140455036120568,20290,20
BRANDO,2B043,2B,94,1584.0,2219.02,20222,212000434.0,0.7138286270515813,20222,20
BUSTANICO,2B045,2B,94,65.0,1156.27,20212,212000459.0,0.0562152438444308,20212,20
CAGNANO,2B046,2B,94,148.0,1477.25,20228,212000467.0,0.1001861567101032,20228,20
CALACUCCIA,2B047,2B,94,272.0,1820.87,20224,212000475.0,0.1493791429371674,20224,20
CALENZANA,2B049,2B,94,2684.0,18388.86,2021420260,212000491.0,0.1459579332269645,2021420260,202
CALVI,2B050,2B,94,5788.0,3150.42,20260,212000509.0,1.837215355412929,20260,20
CAMBIA,2B051,2B,94,61.0,835.47,20244,212000517.0,0.0730127951931248,20244,20
CAMPANA,2B052,2B,94,22.0,234.58,20229,212000525.0,0.0937846363713871,20229,20
CAMPI,2B053,2B,94,19.0,486.42,20270,212000533.0,0.0390608938777188,20270,20
CAMPILE,2B054,2B,94,181.0,976.03,20290,212000541.0,0.185445119514769,20290,20
CAMPITELLO,2B055,2B,94,107.0,817.63,20252,212000558.0,0.1308660396511869,20252,20
CANALE-DI-VERDE,2B057,2B,94,302.0,1460.43,20230,212000574.0,0.2067884116321905,20230,20
CANARI,2B058,2B,94,305.0,1686.7,20217,212000582.0,0.1808264658801209,20217,20
CANAVAGGIA,2B059,2B,94,123.0,3498.55,20235,212000590.0,0.0351574223606922,20235,20
CARCHETO-BRUSTICO,2B063,2B,94,57.0,520.93,20229,212000632.0,0.1094196917052195,20229,20
CARPINETO,2B067,2B,94,38.0,243.47,20229,212000673.0,0.1560767240317082,20229,20
CARTICASI,2B068,2B,94,25.0,1312.7,20244,212000681.0,0.0190447169955054,20244,20
CASABIANCA,2B069,2B,94,123.0,366.06,20237,212000699.0,0.3360104900835928,20237,20
CASALTA,2B072,2B,94,51.0,491.26,20215,212000723.0,0.1038146806171884,20215,20
CASAMACCIOLI,2B073,2B,94,115.0,3627.09,20224,212000731.0,0.0317058578640177,20224,20
CASANOVA,2B074,2B,94,384.0,989.9,20250,212000749.0,0.387917971512274,20250,20
CASEVECCHIE,2B075,2B,94,69.0,902.09,20270,212000756.0,0.0764890421133146,20270,20
CASTELLARE-DI-CASINCA,2B077,2B,94,701.0,910.93,20213,212000772.0,0.7695432140779204,20213,20
CASTELLARE-DI-MERCURIO,2B078,2B,94,31.0,612.17,20212,212000780.0,0.0506395282356208,20212,20
CASTELLO-DI-ROSTINO,2B079,2B,94,522.0,1248.43,20235,212000798.0,0.4181251652075006,20235,20
CASTIFAO,2B080,2B,94,168.0,4240.14,20218,212000806.0,0.0396213332578641,20218,20
CASTIGLIONE,2B081,2B,94,40.0,2315.46,20218,212000814.0,0.0172751850604199,20218,20
CASTINETA,2B082,2B,94,34.0,939.0,20218,212000822.0,0.0362087326943557,20218,20
CASTIRLA,2B083,2B,94,166.0,2449.01,20236,212000830.0,0.067782491700728,20236,20
CATERI,2B084,2B,94,247.0,321.43,20225,212000848.0,0.7684410291509816,20225,20
CENTURI,2B086,2B,94,175.0,857.05,20238,212000863.0,0.2041887871186045,20238,20
CERVIONE,2B087,2B,94,2149.0,1147.98,20221,212000871.0,1.871983832470949,20221,20
CHIATRA,2B088,2B,94,231.0,827.47,20230,212000889.0,0.2791641993063192,20230,20
CORBARA,2B093,2B,94,962.0,1012.32,2022020256,212000939.0,0.9502923976608186,2022020256,202
CORSCIA,2B095,2B,94,123.0,5894.89,20224,212000954.0,0.0208655292974084,20224,20
CORTE,2B096,2B,94,7819.0,14909.96,20250,212000962.0,0.5244145524199931,20250,20
COSTA,2B097,2B,94,49.0,107.01,20226,212000970.0,0.4579011307354452,20226,20
CROCE,2B101,2B,94,78.0,644.94,20237,212001010.0,0.1209414829286445,20237,20
CROCICCHIA,2B102,2B,94,81.0,426.32,20290,212001028.0,0.1899981234753237,20290,20
ERBAJOLO,2B105,2B,94,90.0,1559.9,20212,212001051.0,0.0576960061542406,20212,20
ÉRONE,2B106,2B,94,9.0,396.67,20244,212001069.0,0.0226888849673532,20244,20
ERSA,2B107,2B,94,124.0,2027.76,20275,212001077.0,0.061151221051801,20275,20
FARINOLE,2B109,2B,94,236.0,1478.5,20253,212001093.0,0.1596212377409536,20253,20
FAVALELLO,2B110,2B,94,71.0,553.71,20212,212001101.0,0.1282259666612486,20212,20
FELCE,2B111,2B,94,54.0,470.81,20234,212001119.0,0.1146959495337822,20234,20
FELICETO,2B112,2B,94,232.0,1527.84,20225,212001127.0,0.1518483610849303,20225,20
FICAJA,2B113,2B,94,54.0,508.17,20237,212001135.0,0.1062636519275045,20237,20
FOCICCHIA,2B116,2B,94,36.0,723.38,20212,212001168.0,0.0497663745196162,20212,20
FURIANI,2B120,2B,94,6585.0,1899.93,20600,212001200.0,3.4659171653692504,20600,20
GALÉRIA,2B121,2B,94,395.0,13609.81,20245,212001218.0,0.0290231825425924,20245,20
GAVIGNANO,2B122,2B,94,61.0,1079.46,20218,212001226.0,0.0565097363496563,20218,20
