nom commune,code insee,code Departement,code Region,population,surface,code Postal,siren,density,code Postal 2,cp
L'ABERGEMENT-CLÉMENCIAT,01001,01,84,860.0,1564.5,01400,210100012,0.5496963886225631,1400,01
L'ABERGEMENT-DE-VAREY,01002,01,84,270.0,919.01,01640,210100020,0.29379440920120564,1640,01
AMBÉRIEU-EN-BUGEY,01004,01,84,15934.0,2454.8,01500,210100046,6.490956493400684,1500,01
AMBÉRIEUX-EN-DOMBES,01005,01,84,1906.0,1603.97,01330,210100053,1.188301526836537,1330,01
AMBLÉON,01006,01,84,115.0,604.01,01300,210100061,0.1903941987715435,1300,01
AMBRONAY,01007,01,84,2841.0,3370.53,01500,210100079,0.8428941442443769,1500,01
AMBUTRIX,01008,01,84,760.0,518.27,01500,210100087,1.4664171184903623,1500,01
ANDERT-ET-CONDON,01009,01,84,348.0,700.67,01300,210100095,0.4966674754163872,1300,01
ANGLEFORT,01010,01,84,1174.0,2955.54,01350,210100103,0.39722013574507536,1350,01
APREMONT,01011,01,84,415.0,1507.23,01100,210100111,0.27533953013143314,1100,01
ARANC,01012,01,84,331.0,2171.31,01110,210100129,0.15244253469103905,1110,01
ARANDAS,01013,01,84,138.0,1405.34,01230,210100137,0.0981968776239202,1230,01
ARBENT,01014,01,84,3555.0,2366.87,01100,210100145,1.5019836323921467,1100,01
ARBOYS EN BUGEY,01015,01,84,710.0,2260.53,01300,200053668,0.3140856347847628,1300,01
ARBIGNY,01016,01,84,462.0,1754.36,01190,210100160,0.26334389748968284,1190,01
ARGIS,01017,01,84,419.0,781.9,01230,210100178,0.5358741527049495,1230,01
ARMIX,01019,01,84,25.0,696.88,01510,210100194,0.035874182068648834,1510,01
ARS-SUR-FORMANS,01021,01,84,1528.0,551.98,01480,210100210,2.7682162397188304,1480,01
ARTEMARE,01022,01,84,1139.0,332.29,01510,210100228,3.4277287911161936,1510,01
ASNIÈRES-SUR-SAÔNE,01023,01,84,78.0,466.77,01570,210100236,0.1671058551320779,1570,01
ATTIGNAT,01024,01,84,3409.0,1894.31,01340,210100244,1.7995998543005105,1340,01
BÂGÉ-DOMMARTIN,01025,01,84,4050.0,5701.1,01380,200077220,0.710389223132378,1380,01
BÂGÉ-LE-CHÂTEL,01026,01,84,971.0,87.64,01380,210100269,11.079415791875856,1380,01
BALAN,01027,01,84,3077.0,1799.48,01360,210100277,1.7099384266565896,1360,01
BANEINS,01028,01,84,621.0,907.01,01990,210100285,0.6846672032281893,1990,01
BEAUPONT,01029,01,84,734.0,1415.51,01270,210100293,0.5185410205508969,1270,01
BEAUREGARD,01030,01,84,872.0,98.18,01480,210100301,8.881645956406599,1480,01
BELLIGNAT,01031,01,84,3525.0,781.94,01100,210100319,4.508018518044863,1100,01
BÉLIGNEUX,01032,01,84,3535.0,1335.68,01360,210100327,2.646591998083373,1360,01
VALSERHÔNE,01033,01,84,16712.0,6286.07,01200,200083863,2.658576821448059,1200,01
BELLEY,01034,01,84,9388.0,2254.61,01300,210100343,4.163913049263509,1300,01
BELLEYDOUX,01035,01,84,306.0,1781.95,01130,210100350,0.17172198995482477,1130,01
VALROMEY-SUR-SÉRAN,01036,01,84,1351.0,5660.41,01260,200086411,0.2386752903058259,1260,01
BÉNONCES,01037,01,84,311.0,1536.02,01470,210100376,0.20247132198799495,1470,01
BÉNY,01038,01,84,777.0,1828.16,01370,210100384,0.4250175039383861,1370,01
BÉRÉZIAT,01040,01,84,475.0,1127.05,01340,210100400,0.4214542389423717,1340,01
BETTANT,01041,01,84,774.0,343.27,01500,210100418,2.254784863227197,1500,01
BEY,01042,01,84,286.0,277.57,01290,210100426,1.0303707172965377,1290,01
BEYNOST,01043,01,84,5198.0,1068.97,01700,210100434,4.862624769638063,1700,01
BILLIAT,01044,01,84,713.0,1404.11,01200,210100442,0.5077949733283005,1200,01
BIRIEUX,01045,01,84,275.0,1577.34,01330,210100459,0.17434414901035922,1330,01
BIZIAT,01046,01,84,889.0,1158.05,01290,210100467,0.7676697897327404,1290,01
BLYES,01047,01,84,1401.0,942.45,01150,210100475,1.4865510106636957,1150,01
LA BOISSE,01049,01,84,3449.0,942.46,01120,210100491,3.659571759013645,1120,01
BOISSEY,01050,01,84,396.0,945.41,0119001380,210100509,0.4188658888736104,119001380,011
BOLOZON,01051,01,84,103.0,497.27,01450,210100517,0.207130934904579,1450,01
BOULIGNEUX,01052,01,84,318.0,2623.93,01330,210100525,0.12119225741540363,1330,01
BOURG-EN-BRESSE,01053,01,84,42372.0,2403.23,01000,210100533,17.631271247446143,1000,01
BOURG-SAINT-CHRISTOPHE,01054,01,84,1562.0,899.82,01800,210100541,1.7359027361027761,1800,01
BOYEUX-SAINT-JÉRÔME,01056,01,84,367.0,1671.47,01640,210100566,0.2195672073085368,1640,01
BOZ,01057,01,84,513.0,769.11,01190,210100574,0.6670047197409993,1190,01
BRÉGNIER-CORDON,01058,01,84,804.0,1125.73,01300,210100582,0.7142032281275261,1300,01
BRÉNOD,01060,01,84,576.0,2402.27,01110,210100608,0.2397732145012842,1110,01
BRENS,01061,01,84,1123.0,688.48,01300,210100616,1.6311294445735534,1300,01
BRESSOLLES,01062,01,84,1028.0,765.56,01360,210100624,1.3428078791995404,1360,01
BRION,01063,01,84,592.0,448.64,01460,210100632,1.3195435092724679,1460,01
BRIORD,01064,01,84,1119.0,1231.56,01470,210100640,0.9086037221085453,1470,01
BUELLAS,01065,01,84,1899.0,1024.78,01310,210100657,1.85308066121509,1310,01
LA BURBANCHE,01066,01,84,98.0,1101.52,01510,210100665,0.08896797153024912,1510,01
CEIGNES,01067,01,84,257.0,1016.7,01430,210100673,0.2527785974230353,1430,01
